,city_searched,check_in_searched,check_out_searched,room_config_searched,name,address,hotel_coordinates,hotel_score,hotel_scores,hotel_description,features,room_data,count,current_page,in_page_count
Sunday, February 5, 2023",2 adults · 0 children · 2 rooms,Vale Suites,"Valencia, 194, Eixample, 08011 Barcelona, Spain","41.38837738,2.15763129",9.0,"{'': '', 'Staff': '9.2', 'Facilities': '9.2', 'Cleanliness': '9.2', 'Comfort': '9.3', 'Value for money': '8.7', 'Location': '9.2', 'Free WiFi': '9.1'}","[""You're eligible for a Genius discount at Vale Suites! To save at this property, all you have to do is sign in."", 'Lying in the charming Eixample area of central Barcelona, Uma Suites Metropolitan offers vast, state-of-the-art apartments, boasting free internet, an alarm system and washing machine.', ""Make yourself at home in these well-furnished apartments, which are housed in a lovely building with plenty of natural light in the heart of Barcelona's cultural center."", 'The apartments boast a full kitchen and bathroom, as well as air conditioning for your comfort.', 'Uma Suites Metropolitan are the perfect base to discover the city. You can research the sights and show photos to friends online using the free WiFi service.']","['Apartments', 'Kitchen', 'City view', 'Washing machine', 'Free WiFi', 'Balcony', 'Air conditioning', 'Private Bathroom', 'Non-smoking rooms', 'Safe']","{'9723813_349143565_2_0_0': {'room_name': 'Deluxe Apartment', 'room_price': '€ 2,030', 'room_capacity': 'Max people: 2', 'room_options': ['Free cancellation until 11:59 PM on January 19, 2023', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available'], 'room_facilities': ['Entire apartment', '70 m²', 'Private kitchen', 'Private Bathroom', 'Balcony', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Soundproof', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 full bed/ 1 full bed/ 1 sofa bed/ '}, '9723813_120204733_3_0_0': {'room_name': 'Deluxe Apartment', 'room_price': '€ 2,090', 'room_capacity': 'Max people: 3', 'room_options': ['Flexible to reschedule if plans change', 'Non-refundable', 'Pay in advance', 'discount available'], 'room_facilities': ['Entire apartment', '70 m²', 'Private kitchen', 'Private Bathroom', 'Balcony', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Soundproof', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 full bed/ 1 full bed/ 1 sofa bed/ '}, '9723813_349143565_3_0_0': {'room_name': 'Deluxe Apartment', 'room_price': '€ 2,192', 'room_capacity': 'Max people: 3', 'room_options': ['Free cancellation until 11:59 PM on January 19, 2023', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available'], 'room_facilities': ['Entire apartment', '70 m²', 'Private kitchen', 'Private Bathroom', 'Balcony', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Soundproof', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 full bed/ 1 full bed/ 1 sofa bed/ '}, '9723813_120204733_4_0_0': {'room_name': 'Deluxe Apartment', 'room_price': '€ 2,241', 'room_capacity': 'Max people: 4', 'room_options': ['Flexible to reschedule if plans change', 'Non-refundable', 'Pay in advance', 'discount available'], 'room_facilities': ['Entire apartment', '70 m²', 'Private kitchen', 'Private Bathroom', 'Balcony', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Soundproof', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 full bed/ 1 full bed/ 1 sofa bed/ '}, '9723813_349143565_4_0_0': {'room_name': 'Deluxe Apartment', 'room_price': '€ 2,354', 'room_capacity': 'Max people: 4', 'room_options': ['Free cancellation until 11:59 PM on January 19, 2023', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available'], 'room_facilities': ['Entire apartment', '70 m²', 'Private kitchen', 'Private Bathroom', 'Balcony', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Soundproof', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 full bed/ 1 full bed/ 1 sofa bed/ '}, '9723813_120204733_5_0_0': {'room_name': 'Deluxe Apartment', 'room_price': '€ 2,392', 'room_capacity': 'Max people: 5', 'room_options': ['Flexible to reschedule if plans change', 'Non-refundable', 'Pay in advance', 'discount available'], 'room_facilities': ['Entire apartment', '70 m²', 'Private kitchen', 'Private Bathroom', 'Balcony', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Soundproof', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 full bed/ 1 full bed/ 1 sofa bed/ '}, '9723813_349143565_5_0_0': {'room_name': 'Deluxe Apartment', 'room_price': '€ 2,516', 'room_capacity': 'Max people: 5', 'room_options': ['Free cancellation until 11:59 PM on January 19, 2023', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available'], 'room_facilities': ['Entire apartment', '70 m²', 'Private kitchen', 'Private Bathroom', 'Balcony', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Soundproof', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 full bed/ 1 full bed/ 1 sofa bed/ '}, '9723813_120204733_6_0_0': {'room_name': 'Deluxe Apartment', 'room_price': '€ 1,940', 'room_capacity': 'Max people: 6', 'room_options': ['Flexible to reschedule if plans change', 'Non-refundable', 'Pay in advance', 'discount available'], 'room_facilities': ['Entire apartment', '70 m²', 'Private kitchen', 'Private Bathroom', 'Balcony', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Soundproof', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 full bed/ 1 full bed/ 1 sofa bed/ '}, '9723813_349143565_6_0_0': {'room_name': 'Deluxe Apartment', 'room_price': '€ 2,678', 'room_capacity': 'Max people: 6', 'room_options': ['Free cancellation until 11:59 PM on January 19, 2023', 'NO PREPAYMENT NEEDED – pay at the property', 'discount available'], 'room_facilities': ['Entire apartment', '70 m²', 'Private kitchen', 'Private Bathroom', 'Balcony', 'City view', 'Air conditioning', 'Dishwasher', 'Flat-screen TV', 'Soundproof', 'Coffee machine', 'Free WiFi'], 'room_bed_type': '1 full bed/ 1 full bed/ 1 sofa bed/ '}}",0,1,0
1,Barcelona,"27
Friday, January 27, 2023","5
Sunday, February 5, 2023",2 adults · 0 children · 2 rooms,Unkown1,"Calabria 90-92, Eixample, 08015 Barcelona, Spain","41.37914580,2.15593180",8.5,"{'': '', 'Staff': '9.2', 'Facilities': '8.6', 'Cleanliness': '8.9', 'Comfort': '9.0', 'Value for money': '8.4', 'Location': '9.1', 'Free WiFi': '9.0'}","['Offering a rooftop pool with a large sun terrace, TWO Hotel Barcelona by Axel is located in the heart of the gay district of Barcelona, 1.2 mi from Barceloneta Beach.', 'The hetero-friendly hotel offers on-site private parking. There is also a 24-hour reception and guests can get information on the gay scene and the city at the on-site tour desk. On the rooftop guests will also find the Sky bar, gym, steam bath and a massage room.', 'Each room here will provide you with air conditioning and a mini-bar. Featuring a shower, private bathroom also comes with a hairdryer. A safety deposit box and a universal phone charger are also provided.', 'Guests can sample a drink at the rooftop bar, while taking in stunning city views or enjoy the delicious cocktails served in the Lounge Bar. A buffet breakfast is available and free high-speed WiFi access is provided throughout.', 'Staff can give information about the surrounding area, which is known as ""Gayxample"" because of its lively gay nightlife.', ""The hotel is 2 minutes' walk from Rocafort Metro Station and Plaça d'Espanya, with direct busses to Barcelona Airport, is a 10-minute walk away. Paral·lel, with bars, restaurants, clubs and theaters is 0.8 mi from TWO Hotel Barcelona by Axel.""]",[],"{'131688501_261958602_0_2_0': {'room_name': 'Single Room', 'room_price': '€ 1,685', 'room_capacity': 'Max people: 1', 'room_options': ['Good breakfast € 14', 'Free cancellation until 11:59 PM on December 27, 2022'], 'room_facilities': ['16 m²', 'Inner courtyard view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '131688501_261958602_0_1_0': {'room_name': 'Single Room', 'room_price': '€ 1,811', 'room_capacity': 'Max people: 1', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on December 27, 2022'], 'room_facilities': ['16 m²', 'Inner courtyard view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '131688501_260229037_0_2_0': {'room_name': 'Single Room', 'room_price': '€ 1,978', 'room_capacity': 'Max people: 1', 'room_options': ['Good breakfast € 14', 'Free cancellation until 11:59 PM on January 25, 2023'], 'room_facilities': ['16 m²', 'Inner courtyard view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '131688501_260229037_0_1_0': {'room_name': 'Single Room', 'room_price': '€ 2,104', 'room_capacity': 'Max people: 1', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on January 25, 2023'], 'room_facilities': ['16 m²', 'Inner courtyard view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 twin bed/ '}, '131688502_261958602_1_1_0': {'room_name': 'Double or Twin Room', 'room_price': '€ 1,887', 'room_capacity': 'Max people: 1', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on December 27, 2022'], 'room_facilities': ['18 m²', 'Garden view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688502_261958602_0_2_0': {'room_name': 'Double or Twin Room', 'room_price': '€ 1,788', 'room_capacity': 'Max people: 2', 'room_options': ['Good breakfast € 14', 'Free cancellation until 11:59 PM on December 27, 2022'], 'room_facilities': ['18 m²', 'Garden view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688502_261958602_0_1_0': {'room_name': 'Double or Twin Room', 'room_price': '€ 2,040', 'room_capacity': 'Max people: 2', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on December 27, 2022'], 'room_facilities': ['18 m²', 'Garden view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688502_260229037_0_2_0': {'room_name': 'Double or Twin Room', 'room_price': '€ 2,094', 'room_capacity': 'Max people: 2', 'room_options': ['Good breakfast € 14', 'Free cancellation until 11:59 PM on January 25, 2023'], 'room_facilities': ['18 m²', 'Garden view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688502_260229037_0_1_0': {'room_name': 'Double or Twin Room', 'room_price': '€ 2,346', 'room_capacity': 'Max people: 2', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on January 25, 2023'], 'room_facilities': ['18 m²', 'Garden view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688502_260229037_1_1_0': {'room_name': 'Double or Twin Room', 'room_price': '€ 2,203', 'room_capacity': 'Max people: 1', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on January 25, 2023'], 'room_facilities': ['18 m²', 'Garden view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688503_261958602_0_2_0': {'room_name': 'Premium Double Room', 'room_price': '€ 1,903', 'room_capacity': 'Max people: 2', 'room_options': ['Good breakfast € 14', 'Free cancellation until 11:59 PM on December 27, 2022'], 'room_facilities': ['20 m²', 'Balcony', 'Garden view', 'City view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688503_261958602_0_1_0': {'room_name': 'Premium Double Room', 'room_price': '€ 2,155', 'room_capacity': 'Max people: 2', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on December 27, 2022'], 'room_facilities': ['20 m²', 'Balcony', 'Garden view', 'City view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688503_260229037_0_2_0': {'room_name': 'Premium Double Room', 'room_price': '€ 2,229', 'room_capacity': 'Max people: 2', 'room_options': ['Good breakfast € 14', 'Free cancellation until 11:59 PM on January 25, 2023'], 'room_facilities': ['20 m²', 'Balcony', 'Garden view', 'City view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688503_260229037_0_1_0': {'room_name': 'Premium Double Room', 'room_price': '€ 2,481', 'room_capacity': 'Max people: 2', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on January 25, 2023'], 'room_facilities': ['20 m²', 'Balcony', 'Garden view', 'City view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688503_261958602_1_1_0': {'room_name': 'Premium Double Room', 'room_price': '€ 2,002', 'room_capacity': 'Max people: 1', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on December 27, 2022'], 'room_facilities': ['20 m²', 'Balcony', 'Garden view', 'City view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688503_260229037_1_1_0': {'room_name': 'Premium Double Room', 'room_price': '€ 2,338', 'room_capacity': 'Max people: 1', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on January 25, 2023'], 'room_facilities': ['20 m²', 'Balcony', 'Garden view', 'City view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688504_261958602_0_2_0': {'room_name': 'Panoramic Superior Double Room', 'room_price': '€ 2,094', 'room_capacity': 'Max people: 2', 'room_options': ['Good breakfast € 14', 'Free cancellation until 11:59 PM on December 27, 2022'], 'room_facilities': ['22 m²', 'City view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688504_261958602_0_1_0': {'room_name': 'Panoramic Superior Double Room', 'room_price': '€ 2,346', 'room_capacity': 'Max people: 2', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on December 27, 2022'], 'room_facilities': ['22 m²', 'City view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688504_260229037_0_2_0': {'room_name': 'Panoramic Superior Double Room', 'room_price': '€ 2,454', 'room_capacity': 'Max people: 2', 'room_options': ['Good breakfast € 14', 'Free cancellation until 11:59 PM on January 25, 2023'], 'room_facilities': ['22 m²', 'City view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688504_260229037_0_1_0': {'room_name': 'Panoramic Superior Double Room', 'room_price': '€ 2,706', 'room_capacity': 'Max people: 2', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on January 25, 2023'], 'room_facilities': ['22 m²', 'City view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688504_261958602_1_1_0': {'room_name': 'Panoramic Superior Double Room', 'room_price': '€ 2,193', 'room_capacity': 'Max people: 1', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on December 27, 2022'], 'room_facilities': ['22 m²', 'City view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}, '131688504_260229037_1_1_0': {'room_name': 'Panoramic Superior Double Room', 'room_price': '€ 2,563', 'room_capacity': 'Max people: 1', 'room_options': ['Good breakfast included', 'Free cancellation until 11:59 PM on January 25, 2023'], 'room_facilities': ['22 m²', 'City view', 'Air conditioning', 'Attached bathroom', 'Flat-screen TV', 'Soundproof', 'Minibar', 'Free WiFi'], 'room_bed_type': '1 queen bed/ '}}",1,1,1
